ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
359     ..3      4006-01017-04     ms 6-32X1/4 p-rh-s                                6
360     .2       A-23001-L-3       p2000 flpr assy left-green                        1
361     ..3      A-23000           flipper crank link assy                           1
362     ...4     A-22999           flipper crank assy                                1
363     ....5    01-11764-R        flipper crank-right                               1
364     ....5    01-9376           brkt retain spring                                1
365     ....5    04-11222.1        locking stud                                      1
366     ....5    4410-01127-00     nut 10-32 hex                                     1
367     ....5    4700-00107-00     fw .203X.625X.104                                 1
368     ....5    4701-00004-00     lw #10 split                                      1
369     ...4     A-15847           flipper link assy                                 1
370     ....5    02-4219           plunger coil                                      1
371     .....6   02-4219.1         plunger-coil                                      1
372     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
373     ....5    03-8753           flipper link                                      1
374     ...4     02-4676           bushing link spacer                               1
375     ...4     4010-01086-14     cs 10-32X7/8 sh                                   1
376     ...4     4700-00023-00     fw .203X.625X.059                                 2
377     ...4     4701-00004-00     lw #10 split                                      1
378     ...4     4410-01132-00     nut 10-32 esn                                     1
379     ..3      B-13104.1-L       flipper brkt sub assy                             1
380     ..3      A-12390           flpr stop brkt                                    1
381     ..3      FL1-11722         flipper coil-green                                1
382     ...4     16-8799-31        coil tape 1 7/8 green                             0
383     ...4     A-22588           flipper bobbin assy                               0
384     ....5    03-7565           bobbin                                            0
385     ....5    01-14673-1        terminal-coil                                     0
386     ....5    01-15016          terminal-coil .25                                 0
387     ....5    07-6688-17        rivet 5/32X1/8                                    0
388     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
389     ..3      01-7695-1         brkt-solenoid                                     1
390     ..3      03-7568           bushing-flipper                                   1
391     ..3      03-7066-5         tubing-coil                                       1
392     ..3      10-364            spring-retractor                                  1
393     ..3      SW-1A-194         switch assy-make                                  1
394     ...4     06-1-20           blade-contact                                     1
395     ...4     06-2V-14          blade-contact                                     1
396     ...4     03-7007-4A        tubing-switch                                     2
397     ...4     01-916-L          "spacer-loose 1/16"""                             2
398     ...4     01-916-S          "spacer-tight 1/16"""                             2
399     ...4     5860-09374-00     cp prec met 7309fs                                1
400     ...4     5860-06244-00     cp prec met 7207FSn                               1
401     ..3      03-9878           shock deflector                                   1
402     ..3      23-6577           rubber bumper plug 5/8                            1
403     ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                2
404     ..3      01-14998          brkt-switch                                       1
405     ..3      4701-00004-00     lw #10 split                                      2
406     ..3      4006-01003-07     ms 6-32x7/16 p-ph-s                               3
407     ..3      4406-01128-00     nut 6-32 keps                                     3
408     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                2
409     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      2
410     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
411     .2       A-23001-R-3       p2000 flpr assy right-green                       1
412     ..3      A-23000           flipper crank link assy                           1
413     ...4     A-22999           flipper crank assy                                1
414     ....5    01-11764-R        flipper crank-right                               1
415     ....5    01-9376           brkt retain spring                                1
416     ....5    04-11222.1        locking stud                                      1
417     ....5    4410-01127-00     nut 10-32 hex                                     1
418     ....5    4700-00107-00     fw .203X.625X.104                                 1
419     ....5    4701-00004-00     lw #10 split                                      1
420     ...4     A-15847           flipper link assy                                 1
421     ....5    02-4219           plunger coil                                      1
422     .....6   02-4219.1         plunger-coil                                      1
423     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
424     ....5    03-8753           flipper link                                      1
425     ...4     02-4676           bushing link spacer                               1
426     ...4     4010-01086-14     cs 10-32X7/8 sh                                   1
