ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
423     ...4     06-1A-8           blade-contact short                               3
424     ..3      06-73-2           blade-insulator                                   3
425     ..3      01-8657-1         stop-switch limit                                 3
426     ..3      01-3670           plate-switch curved                               3
427     ..3      07-6688-27        rivet 9/16X1/8                                    6
428     ..3      4700-00003-00     fw .125X.281X.032                                 3
429     ..3      03-8304-21        tgt sq skirt stat-trl green                       3
430     ..3      07-6697-4         rivet .125X.187x.218 zinc                         3
431     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
432     ..3      03-7007-5A        "tubing-11/32"""                                  6
433     .2       A-21808-1         3 lamp pcb assy w/spacer                          2
434     ..3      A-21808           3 lamp pcb assy                                   2
435     ...4     A-21808-AI        3 lamp pcb assy                                   0
436     ....5    5768-15423-00     pcb-3 lamp                                        0
437     ....5    5070-09054-00     diode-1N4004 1.0a                                 0
438     ...4     24-8767           socket-pcb twist                                  0
439     ...4     24-8768           bulb #555 6.3Volts .25Amps                        0
440     ...4     5791-10871-05     5h spl sq pin .156                                0
441     ..3      03-9255-3         spacer #8 x .541                                  4
442     .2       A-22429-4         auto-fire assy                                    1
443     ..3      01-14618.1        brkt-auto fire                                    1
444     ..3      A-6306-2          bell armature assy                                1
445     ..3      04-10910-1        brkt-5/8 coil centering                           1
446     ..3      10-135            spring-plunger                                    1
447     ..3      23-6420           grommet                                           1
448     ..3      AE1-23-800        coil assy                                         1
449     ...4     16-8943-27        coil tape 1 3/8 wide                              0
450     ...4     A-22592           small bobbin assy                                 0
451     ....5    03-7041-1         bobbin                                            0
452     ....5    01-14673-1        terminal-coil                                     0
453     ....5    07-6688-17        rivet 5/32X1/8                                    0
454     ....5    01-15016          terminal-coil .25                                 0
455     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
456     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
457     ..3      03-7067           tubing-coil                                       1
458     .2       A-22205-4         jet coil & brkt assy                              3
459     ..3      AE1-26-1200       coil assy                                         3
460     ...4     16-8943-30        coil tape 1 3/8 wide                              0
461     ...4     A-22592           small bobbin assy                                 0
462     ....5    03-7041-1         bobbin                                            0
463     ....5    01-14673-1        terminal-coil                                     0
464     ....5    07-6688-17        rivet 5/32X1/8                                    0
465     ....5    01-15016          terminal-coil .25                                 0
466     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
467     ..3      04-10888          brkt-jet bumper stop                              3
468     ..3      01-1747           brkt coil retainer                                3
469     ..3      01-5492           link-armature                                     3
470     ..3      01-5493           link-armature                                     3
471     ..3      02-3406-1         plunger coil                                      3
472     ..3      03-7066           tubing-coil                                       3
473     ..3      10-326            spring-jet bumper                                 3
474     ..3      4006-01017-04     ms 6-32X1/4 p-rh-s                                6
475     .2       A-22206-6         coil & brkt right AE1-26-1200                     2
476     ..3      AE1-26-1200       coil assy                                         2
477     ...4     16-8943-30        coil tape 1 3/8 wide                              0
478     ...4     A-22592           small bobbin assy                                 0
479     ....5    03-7041-1         bobbin                                            0
480     ....5    01-14673-1        terminal-coil                                     0
481     ....5    07-6688-17        rivet 5/32X1/8                                    0
482     ....5    01-15016          terminal-coil .25                                 0
483     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
484     ..3      A-17808           brkt & stop                                       2
485     ..3      01-8-508-S        brkt coil retainer                                2
486     ..3      03-7066           tubing-coil                                       2
487     ..3      4006-01003-06     ms 6-32X3/8 p-ph-s                                4
488     ..3      4406-01119-00     nut 6-32 esn                                      4
489     .2       A-22739-1         flipper ballguide assy-right                      1
490     ..3      01-15019.1-1      ballguide-flipper return                          1
491     ..3      4008-01220-30     ms 8-32 X 1 7/8 pin head                          4
492     ..3      03-9255-5         spacer #8 x .733                                  4
493     ..3      03-9255-3         spacer #8 x .541                                  4
494     ..3      31-3437-7         playfield  plastic-50070                          1
495     .2       A-22739-2         flipper ballguide assy-left                       1
496     ..3      01-15019.1-1      ballguide-flipper return                          1
497     ..3      4008-01220-30     ms 8-32 X 1 7/8 pin head                          4
498     ..3      03-9255-5         spacer #8 x .733                                  4
499     ..3      03-9255-3         spacer #8 x .541                                  4
500     ..3      31-3437-8         playfield  plastic-50070                          1
501     .2       A-22852           back panel assy                                   1
502     ..3      01-15167.1        brkt-back panel mtg.                              1
503     ..3      31-3437-27        playfield  plastic-50070                          1
504     ..3      07-6688-18N       rivet 3/16X1/8 nickel                            14
505     ..3      01-15221          brace-backpanel                                   1
506     ..3      4700-00003-00     fw .125X.281X.032                                 4
507     .2       A-22960           alien mechanism                                   2
508     ..3      01-15123          brkt-martian mech                                 2
509     ..3      04-12595.2        plunger-martian assy                              2
510     ..3      20-8790-2         nyliner bearing                                   2
511     ..3      AE1-26-1500       coil assy                                         2
512     ...4     16-8943-32        coil tape 1 3/8 wide                              0
513     ...4     A-22592           small bobbin assy                                 0
514     ....5    03-7041-1         bobbin                                            0
515     ....5    01-14673-1        terminal-coil                                     0
516     ....5    07-6688-17        rivet 5/32X1/8                                    0
517     ....5    01-15016          terminal-coil .25                                 0
518     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
519     ..3      10-135            spring-plunger                                    2
520     ..3      03-7067           tubing-coil                                       2
521     ..3      23-6420           grommet                                           2
522     ..3      04-10910-1        brkt-5/8 coil centering                           2
